04-29 18:39:04.270: D/GetKey(15675): 4654***ÒôÃû£º#F(bG)_5, ¼üºÅ£º58, ÆµÂÊ£º739.989Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.790: D/GetKey(15675): 4778***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.830: D/GetKey(15675): 4779***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.830: D/GetKey(15675): 4779***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.870: D/GetKey(15675): 4780***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.870: D/GetKey(15675): 4780***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.960: D/GetKey(15675): 4782***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.010: D/GetKey(15675): 4783***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.050: D/GetKey(15675): 4784***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.090: D/GetKey(15675): 4785***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.130: D/GetKey(15675): 4786***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.170: D/GetKey(15675): 4787***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.210: D/GetKey(15675): 4788***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.210: D/GetKey(15675): 4788***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.250: D/GetKey(15675): 4789***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.290: D/GetKey(15675): 4790***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.340: D/GetKey(15675): 4791***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.390: D/GetKey(15675): 4792***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.430: D/GetKey(15675): 4793***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.470: D/GetKey(15675): 4794***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:10.510: D/GetKey(15675): 4795***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
